recall_number,status,classification,state,country,recalling_firm,product_description,reason_for_recall,voluntary_mandated,recall_initiation_date,report_date,termination_date
F-0276-2017,Terminated,Class II,FL,United States,Pharmatech LLC,"CytoDetox, Hydrolyzed Clinoptilolite Fragments, 1 oz./30 mL, OTC Non-Sterile.  Dietary supplement.",Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,Voluntary: Firm initiated,20160808,20161102,20240923
F-0865-2017,Terminated,Class II,CA,United States,Magic Gourmet Trading Inc,"Koi Palace Mini Moon Cake: Single Box - Mini Oolong Tea Paste  Unit Size 1/2 lb. and 1/4 lb. in circular box (1 piece) and rectangular boxes (4, 6 or 8 pieces).","Mooncake products, manufactured and distributed by Magic Gourmet Trading, Inc. of Milbrae, CA did not have adequate product labeling, including ingredient statements and allergen declaration. Undeclared ingredients include wheat, peanut oil.",Voluntary: Firm initiated,20160831,20170118,20170111
F-0609-2015,Terminated,Class I,FL,United States,"Oasis Brands, Inc",Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.",Voluntary: Firm initiated,20141010,20141210,20170328
F-1922-2012,Terminated,Class I,FL,United States,FreshPoint South Florida,"Yellow Onion.  Product is labeled in part:  ""***FC Salsa Mango""***Refrigerate at 34 F***""      Item #   302940 FC SALSA MANGO 2/5#.        Product is fresh made - Ready To Eat.","FreshPoint South Florida is recalling sliced fresh yellow onions and salsa products processed using yellow onions sourced from Gills Onions, LLC which were recalled for Listeria monocytogenes.",Voluntary: Firm initiated,20120727,20120815,20141008
F-0904-2020,Terminated,Class III,CA,United States,"Organic By Nature, Inc.","Pure Planet Organic Parasite Cleanse;  Net Wt. 174g Glass Jar;  Finished Product Item # 52700    Manufactured and Distributed by:  Pure Planet,  Rancho Dominguez, CA",Firm was notified by supplier that Organic Ground Flaxseed powder was under recall by manufacturer due to unapproved herbicide - Haloxyfop,Voluntary: Firm initiated,20200224,20200401,20210202
F-1578-2018,Terminated,Class III,WA,United States,Yukon Jackson,"Coffee Toffee - 4 oz. packages. UPC 6 55974 89001 2.    The label is read in parts: ""***Ingredients: butter (milk), sugar, bittersweet chocolate 60% (cocoa liquor, emulsifier, soya lecithin, vanilla), coffee, pecans *** Contains: milk & soya ***"".",Coffee Toffee is recalled because pecan is listed on the Ingredients statement but it is not listed in the Contains statement.,Voluntary: Firm initiated,20180525,20180620,20180625
F-0921-2020,Terminated,Class III,NY,United States,Rong Shing Trading NY Inc,"XinXing Dried Plum, Net Wt. 5.3 oz.(150g)","Product contains dried peaches, but front labeling of product stated dried plums",Voluntary: Firm initiated,20200401,20200506,20210318
F-2326-2017,Terminated,Class II,OH,United States,Trophy Nut Co Inc,"Honey Bourbon Pecans Net Wt. 20 lb. (9.088g) Mfg. By: Trophy Nut Co. Tipp City, OH 45371",The firm stated that the product contains undeclared allergens.,Voluntary: Firm initiated,20170505,20170614,20180213
F-0777-2015,Terminated,Class I,MD,United States,"Del Monte Fresh Produce NA, Inc","Gourmet Mix Fruit Delight Net Wt. 64 oz. (1814g) Best If Enjoyed By: 12/03/14, Dist. By: Wegmans Food Markets, Inc., Rochester, NY 14603 UPC 077890241516",Possible contamination with Listeria monocytogenes.,Voluntary: Firm initiated,20141209,20150121,20150428
F-0757-2022,Terminated,Class I,CA,United States,Dole Fresh Vegetables Inc,Marketside 12oz Classic Salad  UPC:6-81131-32894-4  SKU: 3107,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,Voluntary: Firm initiated,20220106,20220302,20220322
F-1415-2015,Terminated,Class I,GA,United States,CSM Bakery Products NA-Atlanta Frozen,"TranSmart Raspberry Filled frozen unbaked cookie dough, 108/1.75 oz. units, CSM Bakery Products, 3301 Montreal Industrial Way Tucker, GA 30084..",Undeclared Allergen; Peanuts.,Voluntary: Firm initiated,20140626,20150318,20150326
F-1328-2018,Terminated,Class II,MN,United States,Target Corporation,Market Pantry Vanilla Ice Cream 128oz    UPC: 85239014943    Target item number: 288-7-307,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Voluntary: Firm initiated,20180327,20180509,20180503
F-0616-2018,Terminated,Class I,MI,United States,Nyblad Orchards,"Golden delicious whole fresh apples,   Apple Ridge 5lb, 2-3/4  apples, packaged in red net mesh bags  ""	3lb, 2-1/2  apples, packaged in poly bags  ""	2lb, 2-1/2  apples, packaged in poly bags  ""	45ct individual apples on trays with re-useable plastic container boxes  ""	50ct, individual apples on trays with re-useable plastic container boxes  ""	55ct, individual apples on trays with re-useable plastic container boxes  ""	60ct  individual apples on trays with re-useable plastic container boxes  ""	78ct individual apples on trays with re-useable plastic container boxes  ""	50ct, individual apples on trays in cardboard tray  boxes  ""	55ct, individual apples on trays in cardboard tray  boxes",Nyblad Orchards Inc. initiated a voluntary recall of multiple varieties of whole fresh apples due to potential contamination with Listeria monocytogenes.,Voluntary: Firm initiated,20171214,20180117,20180406
F-1472-2022,Terminated,Class II,WY,United States,"Queen Bee Gardens, LLC","Honey Caramels Blue Raspberry. Product available in 5.87 oz. bag, 1 lb. bag, 3 lb. bag, 6 lb. bag. PLU Code for 5.87 oz. bag: 788394 12675 8.","Products may potentially contain one or more of the following undeclared tree nuts: Pecans, Almonds, Coconut, Macadamia Nuts, & Walnuts.",Voluntary: Firm initiated,20220428,20220727,20230117
F-1671-2024,Terminated,Class I,IA,United States,Palmer & Company,"1. Palmer Candy Drizzled Caramel Corn, Item 19271, Net Wt. 16/5oz tubs, UPC 77343 19271 2. Meijer Drizzled Caramel Popcorn Snack Bowl, Net Wt. 12oz, UPC 60236 18830, 8/12oz case",Potential salmonella contamination,Voluntary: Firm initiated,20240503,20240814,20251121
F-0894-2018,Terminated,Class II,KS,United States,Heartland Coca-Cola Bottling Company,"Grape Fanta, Grape Flavored Soda, 12 oz (355 mL) cans, packed in 12 packs, Canned under the authority of the Coca-Cola Company, Atlanta, GA",Sharp edges were observed on several of the cans which have the potential of causing cuts on the mouths of consumers who use the product.,Voluntary: Firm initiated,20180212,20180314,20180705
F-1233-2022,Terminated,Class I,,Israel,ELITE CONFECTIONERY LTD,ELITE MILK CHOCOLATE COATED RICE CAKES  UPC:815871011884	NET WT 2.47OZ (70 g),Potential contamination with Salmonella,Voluntary: Firm initiated,20220428,20220615,20221103
F-1170-2024,Ongoing,Class I,AZ,United States,HandNatural,"H&NATURAL 2 PACK! BRAZIL SEED 60 PIECES, PURE NATURAL SEMILLA DE BRASIL FOR 60 DAYS, 5 GRAMS PER BOX, 2 BLACK BOXES.",Product recalled due to the presence of yellow oleander and its components in the product.,Voluntary: Firm initiated,20240209,20240424,
F-2387-2014,Terminated,Class I,HI,United States,"Florimont, Inc.","Tiny Isle Chocolate Truffles Macadamia Nut: Gluten Free, Raw, Vegan; individual 1 oz. candies,    Tiny Isle  5915 Olohena Road, Unit H  Kapaa, HI 96746",Candy was made using carob powder that is currently under recall by the direct supplier due to potential Salmonella contamination.,Voluntary: Firm initiated,20140725,20140903,20141104
F-1354-2023,Terminated,Class II,OH,United States,Cassanos Inc,"San Marco Premium Dough on Parchment: packaged as 8in, 14in",Undeclared Allergen - Soy Flour,Voluntary: Firm initiated,20230718,20230809,20230927
F-1540-2017,Terminated,Class I,CA,United States,"Altijira Murray Products, LLC",foxy's california pistachio  1 Pint,Potential Listeria monocytogenes contamination.,Voluntary: Firm initiated,20161220,20170308,20170330
H-0552-2026,Terminated,Class II,MI,United States,Uncle Ray's LLC,"Lowes Foods sour cream and onion flavored potato chips, 8oz. bag, UPC 7 41643 05576 6, 9 retail units per case","Inaccurate nutritional data in Nutrition Facts including but not limited to, understated sodium content. Undeclared ingredients including but not limited to, monosodium glutamate.",Voluntary: Firm initiated,20260225,20260318,20260605
F-1643-2017,Terminated,Class II,CA,United States,"Manzana Products Co.,  Inc.","Trader Joe's First Crush Unsweetened Gravenstein Apple Sauce;   24 oz. glass jar.  Best Before date stamped on top of lid.    UPC:00015905     Distributed by Trader Joe's, Monrovia, CA",Manzana Products Co. is initiating a recall of three varieties of apple sauce after receiving customer complaints or finding small pieces of glass in the product.,Voluntary: Firm initiated,20170224,20170329,20190529
F-1681-2015,Terminated,Class II,CA,United States,Health One Pharmaceuticals Inc,EST -700 Calcium,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,Voluntary: Firm initiated,20150204,20150408,20150331
F-3091-2015,Terminated,Class II,MI,United States,"Coloma Frozen Foods, Inc.","Red Tart Pitted Cherries, Straight Packed (No Sugar),  5 lbs. bulk pails, 30 lbs, in bulk pails","Potential for adulteration - elevated mold, yeast, and coliform counts",Voluntary: Firm initiated,20150807,20150916,20160428
H-0088-2025,Terminated,Class II,IL,United States,Carley's Inc.,"Carley s Soft Baked Iced Lemon Cookies, 5.34oz Plastic Tray, clear film overwrap w/ Label, 12 units per case","Product has a misbranded Yellow Color.  Identified on label at  Artificial Yellow Color , and it should be identified as  FD&C Yellow #5",Voluntary: Firm initiated,20250606,20250702,20250723
F-2085-2015,Terminated,Class I,VA,United States,"Sabra Dipping Company, LLC","Sabra Classic Hummus, 17oz Six Pack UPC 040822017497 / 301290  Sabra Dipping Co. LLC, White Plains, NY",Michigan Dept. of Agriculture collected a sample of Sabra Hummus that came up positive for L. Monocytogenes.  Baltimore District is  working with VDACS to investigate.,Voluntary: Firm initiated,20150407,20150506,20150826
F-2543-2015,Terminated,Class I,TX,United States,"Blue Bell Creameries, L.P.",Blue Bell Ice Cream Blueberry Cheesecake Still a 1/2 Gal (2 QTS),Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,Voluntary: Firm initiated,20150313,20150701,20161103
F-1892-2016,Terminated,Class I,CA,United States,"Let's Do Lunch, Inc.",Integrated Food Service  Turkey Breast & Cheese Sandwich  on a Whole Grain French Roll  Code #C16001/160001,Potential Listeria monocytogenes contamination.,Voluntary: Firm initiated,20160523,20160817,20170531
F-0441-2019,Terminated,Class I,FL,United States,Working Cow Homemade Inc.,"Vanilla Bean Ice Cream, 3 gallons",Products may be contaminated with  Listeria monocytogenes.,Voluntary: Firm initiated,20180928,20181121,20190426
F-1146-2013,Terminated,Class I,FL,United States,"Publix Super Markets, Inc.",Publix 7 inch Cookies Cream Layer Cake  Scale ID Number * 002-16466-00000 *The last five digits of the scale ID number contain the unit price. For example $4.99 would have the last five digits ending 00499.,Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,Voluntary: Firm initiated,20121115,20130320,20130517
H-0914-2026,Ongoing,Class II,MN,United States,"J and J Bunting, Inc",Lunds & Byerly's Curry Powder Sweet,Sesame Seeds White were labeled as Curry Powder Sweet.,Voluntary: Firm initiated,20260508,20260610,
F-0913-2020,Terminated,Class II,MS,United States,Southern Sisters Gourmet,"Southern Sisters Gourmet Cheddar Garlic Biscuits, Net Wt 16 oz (453.6 g)",Undeclared allergen: Wheat  Undeclared colors: Yellow #5 and #6.,Voluntary: Firm initiated,20200128,20200401,20210216
F-1594-2024,Terminated,Class II,MD,United States,"Totally Cool, Inc.","Marco Turkish Mocha Ice Cream 16 fl oz/1 pint, UPC 860001992885. Packaged in paper containers, 8 containers per case.",Possible contamination with Listeria monocytogenes,Voluntary: Firm initiated,20240613,20240807,20241008
F-0163-2018,Terminated,Class I,WA,United States,Triple B Corporation,"Stir Fry Kit,  Alaska Carrot, 1 x 11 lb. per case, UPC 45009 85749 1    The ingredient: Green cabbage, yellow onion, broccoli florette, carrot plugs.","Stir Fry Kit product is recalled due to possible contamination with Listeria monocytogenes. The broccoli used in processing this item has been recalled by vendor Mann Packing of Salinas, California.",Voluntary: Firm initiated,20171020,20171108,20171206
F-0583-2019,Terminated,Class I,FL,United States,Working Cow Homemade Inc.,"JY Spiderman Ice Cream, 3 gallons",Products may be contaminated with  Listeria monocytogenes.,Voluntary: Firm initiated,20180928,20181121,20190426
F-2441-2014,Terminated,Class I,CA,United States,Dole Fresh Vegetables Inc,"Dole Baby Spinach:  Thoroughly Washed, Preservative Free, All natural  Net W.t6 oz. bag;  SKU 323  Perishable, keep refrigerated.  UPC 071430009642;    Dole Fresh Vegetables  Monterey, CA  93940",Green Walnuts from a tree dropped into spinach as it was being tractored away from the harvested field. Walnuts were discovered on the Dole spinach processing line,Voluntary: Firm initiated,20140827,20140924,20140917
F-1182-2015,Terminated,Class I,WA,United States,Numbskull LLC,"Pear Sorbet; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,Voluntary: Firm initiated,20141223,20150218,20150223
F-1796-2013,Terminated,Class II,PA,United States,Red Mill Farms,"individual 2 oz chocolate macaroons packaged in plastic wrapper labeled as "" Jennies DUTCH CHOCOLATE MACAROON, 2 oz. Red Mill Farms, Inc., Brooklyn, NY"".",A recall was initiated as a result of an undeclared sugar ingredient in the labeling used for Jennies' Dutch Chocolate Macaroons.,Voluntary: Firm initiated,20130320,20130821,20141020
F-2473-2016,Terminated,Class I,MI,United States,"Savory Foods, Inc.","1.5 oz PEANUT BUTTER COOKIES, 80/case",Savory Foods Inc. has initiated a voluntary recall due to the potential for contamination with Listeria monocytogenes.,Voluntary: Firm initiated,20160211,20161012,20161028
F-0091-2013,Terminated,Class I,MN,United States,G.O. Fresh,"SYSCO Imperial	6520795	1/5# FRUIT MIX CHUNKS 3/4""	130249 & 130250	BEST BY 9/15/12 & 9/16/12, UPC# 1007 4865393314.","G.O. Fresh in Minnesota is voluntarily recalling specific cut items that contain cantaloupe, which has been recalled by DFI Marketing, Inc. due to potential Salmonella contamination.",Voluntary: Firm initiated,20120913,20121017,20130214
F-1804-2018,Terminated,Class II,NY,United States,Sugar Foods Corporation Inc,"Homestyle Italian Seasoned Croutons:  1 lb. foil pouch  Item # 74384              Sugar Foods Corporation  6190 E. Slauson Ave.  Los Angeles, CA 90047",Recalled whey powder was used in further production of numerous food products.,Voluntary: Firm initiated,20180720,20180808,20180918
F-1105-2014,Terminated,Class II,NY,United States,"Global Health Laboratories, LLC","UT-Fem¿ FOR WOMEN, urinary tract SOLUTION, Dietary Supplement, 42 Vegetable Capsules, Product No. 110403, UPC 7 98304 24865 4 -- Manufactured for: Global Quality Health Inc.","The finished dietary supplement product was manufactured with ingredients subsequently found to be contaminated with chloramphenicol, an antibiotic, at levels above 0.3 ppb.  The supplier, Specialty Enzymes & Biotechnologies, recalled the raw materials and notified the recipients.  Subsequent private laboratory testing of the finished product revealed levels of chloramphenicol above 0.3 ppb.",Voluntary: Firm initiated,20131107,20131225,20170308
H-0389-2026,Terminated,Class II,NJ,United States,"GUSTO GROUP, INC.","Shrimp Paste (Klong Kone) 'M' ,  16 oz, 24 count , PLastic Jar,  24 packages/ case",Product tested high for lead.,Voluntary: Firm initiated,20251119,20260121,20260407
F-0678-2024,Terminated,Class I,MD,United States,"TGD Cuts, LLC",MIX FRUIT ALOHA BOWL 3/48 OZ Packaged in clamshell container. UPC:840219170299,Potential Salmonella Contamination,Voluntary: Firm initiated,20231129,20231227,20240925
F-1216-2014,Terminated,Class I,OR,United States,"Reser's Fine Foods, Inc.","Tuna Salad, Formula PT.60 packaged under these labels:    -Essentail Everyday Tuna Salad packaged in 6/12-oz (UPC 041303820285) carton cases. Distributed by Supervalu Inc., Eden Prairie, MN.    -Reser's Gourmet Tuna Salad packaged in 2/5-lb carton cases.  Reser's Fine Foods, Inc., Beaverton, OR.  UPC 071117855067",The recalled products are potentially contaminated with Listeria monocytogenes.,Voluntary: Firm initiated,20131022,20140101,20170124
F-0020-2015,Terminated,Class I,CA,United States,Taylor Farms Pacific Inc. (MacArthur Facility),"CST Roma Tomatoes Whole Roma 1/25#  Origin: USA  Keep Refrigerated   UPC: 40000356942  Taylor Farms, Pacific, Tracy, CA 95376","Firm was notified by supplier that specific lots of ""expo fresh"" Roma tomatoes may be contaminated with Salmonella.",Voluntary: Firm initiated,20140912,20141022,20141015
F-1333-2024,Terminated,Class I,KS,United States,Danisco USA Inc.,"Grindsted Sweetlife CINN. Roll BAS Stabilizer & Emulsifier System, 22.68 kg/ 50 lb bag",Potential Salmonella Contamination,Voluntary: Firm initiated,20240503,20240612,20240904
F-3116-2017,Terminated,Class II,IL,United States,Newly Weds Foods Inc,"A96555, PREDUST X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Product may contain undeclared milk.,Voluntary: Firm initiated,20170503,20170726,20190805
F-0655-2013,Terminated,Class II,PR,United States,"Fabrica Confecciones Soto, Inc.","""Alcapurria Jueyes"" (Crab-filled fritters) - Food Service","Undeclared allergens: wheat, soy, crustacean shellfish (crab), and yellow #5",Voluntary: Firm initiated,20120912,20121114,20170503
F-1159-2022,Terminated,Class I,KS,United States,Liberty Fruit Co Inc DBA Carol's Cuts,"POTATO RUSSET QUARTERED 2/10# (01)10886810715115(10)0016086772 71511 Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Ingredients: Potato, Sodium Metabisulfite",Sodium metabisulfite not declared on product label.,Voluntary: Firm initiated,20220506,20220615,20221027
F-1215-2019,Terminated,Class II,NY,United States,JOY GOURMET FOODS LLC,"JOY GOL-GAPPA (PANI PURI) MASALA CONCENTRATE, NET WT 8 OZ (228g), UPC: 6 80617 60414 5",Product contains undeclared sulfites.,Voluntary: Firm initiated,20190225,20190320,20200710
F-0456-2018,Terminated,Class II,MI,United States,NUTCO Inc. dba Germack Pistachio Co.,Dark Chocolate Almond Bark 5oz &1lb Clear plastic tubs,Germack Roasting  is voluntarily recalling its Dark Chocolate Almond Bark following a supplier's recall due to undeclared allergen milk.,Voluntary: Firm initiated,20171030,20171220,20180402
F-1065-2013,Terminated,Class II,NJ,United States,Ethnic International Holding Inc,"POMEGRANATE DRINK  MIX.  Yoruk Prens Nar Net 400 g.  USA Distributor:  Ethnic Int. Holding Inc. 4 Corporate Drive, Cranbury, NJ 08512.  Tel. 609-395-8513.  Picture of pomegranate on label.","Yoruk Prens brand drink mix flavored Apple, Orange, Pomegranate, Cinnamon and Rosehip.  We were informed that these products include some colorants, which are not allowed to use in the USA as per a New York State Department of Agriculture and Markets sample analysis.",Voluntary: Firm initiated,20121227,20130320,20150205
F-1928-2016,Terminated,Class I,KS,United States,Nu Life Market LLC,"Sun Life Natural Sunflower Spread with Maple in clear plastic jar with brown plastic lid, Net Wt. 12 oz.., UPC 855881003370. The responsible name on the label is Nu Life Market, LLC, Scott City, KS.",Product manufactured with roasted sunflower kernels which may be contaminated with Listeria monocytogenes.,Voluntary: Firm initiated,20160519,20160824,20180914
F-0431-2017,Terminated,Class II,MI,United States,"Farm Country Cheese House, Inc.","Hot Pepper Cheese, forty-five 40 lb. blocks",Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to inadequate pasteurization.,Voluntary: Firm initiated,20161010,20161123,20170502
F-0718-2019,Terminated,Class I,IA,United States,"Quaker Manufacturing, LLC","Cap'n Crunch's Peanut Butter Crunch Cereal packaged in 17.1 ounce and 16.5 ounce cardboard boxes. Distributed by The Quaker Oats Company, Chicago IL",Product tested positive for Salmonella.,Voluntary: Firm initiated,20181113,20181219,20190311
F-0597-2020,Terminated,Class I,MA,United States,Rachael's Food Corporation,"Rachael's brand and Big Y brand Protein Snack Packs; containing one hard boiled egg, diced roasted turkey, and roasted almonds; packaged in 6x6 plastic containers, Net. wt. 4.25 oz.",Product may be contaminated with Listeria monocytogenes.,Voluntary: Firm initiated,20191231,20200212,20200325
F-1039-2023,Terminated,Class I,IL,United States,"Newly Weds Foods, Inc.",A53643	BREADER   X1	50.00	BAG,Products may contain Salmonella,Voluntary: Firm initiated,20230526,20230712,20240723
F-0801-2025,Ongoing,Class II,NH,United States,"Better Business...Better Foods, Inc.",New England Village Snacks The 19th Hole Snack Mix (5 oz. and 10 oz.),Contains undeclared almonds & undeclared sesame,Voluntary: Firm initiated,20250423,20250521,
F-0459-2023,Terminated,Class I,MD,United States,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine","Bistro To Go, Gourmet Cheese & Fruit Plate, Net Wt. 6 Oz. Single Serving, Keep refrigerated","On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .",Voluntary: Firm initiated,20230203,20230322,20231017
F-0857-2016,Terminated,Class III,TX,United States,"C. H. Guenther & Son, Inc.dba Morrison Milling",HSRG Cornmeal Breader NET WT 25 LB (11.33 kg),May contain small metal fragments from wire mesh sifter.,Voluntary: Firm initiated,20151207,20160420,20160802
F-1759-2018,Terminated,Class I,OR,United States,"Green Valley Group, LLC","Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix consisting of chocolate chips, fruit, seeds, and nuts.      Product packaged in a cardboard box with a liner bag, net wt. 20 lbs., and was distributed to retailers for sale from their bulk bins.      The product's ingredients statement on the green label is read ""***Semi-sweet chocolate chips (sugar, chocolate, cocoa butter, soy lecithin, vanilla), hazelnuts, almonds, walnuts, pumpkin seeds, unsulphured peaches, sunflower seeds, raisins, cranberries (apple juice concentrate, sunflower oil)***"".    The product's ingredients statement on the ivory label is read ""***Semi-sweet chocolate chips (sugar, chocolate, cocoa butter, soy lecithin, vanilla), hazelnuts, almonds, walnuts, pumpkin seeds, sunflower seeds, raisins, cranberries (cranberries, apple juice, sunflower oil), Peaches, Raisins (Raisins, Sunflower Oil). No GMOs***"".",Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix are recalled due to undeclared milk.,Voluntary: Firm initiated,20180719,20180815,20180914
F-2016-2014,Terminated,Class II,FL,United States,Hot Pandeyuca & Company Inc,El Original pa' ya To Go by hot pandeyuca brand   Cheese Bread Pan de Queso Grande,"During an FDA inspection, it was discovered that the label of several products failed to declare the components ingredients of a butter flavor that included allergens FD&C Yellow #5, FD&C Yellow #6 and FD&C Red #40.",Voluntary: Firm initiated,20140321,20140618,20140825
F-1306-2019,Terminated,Class II,FL,United States,Traders West Inc,"Samira Food Products Vegeterian 100% Soy Chunk, Net Wt. 8oz",Failure to declare sulfites.,Voluntary: Firm initiated,20190328,20190501,20191009
F-1760-2013,Terminated,Class I,CA,United States,El Campestre,"El Campestre Brand Ceviche Mixto, 2/5 lbs bulk containers into 1/10lbs carton.  Packaged in 2/5lbs white plastic buckets with lid and handle, into 1/10lbs carton.    Labeling reads in part:""CEVICHE MIXTO***NET WT..10 LBS***DIST.BY EL CAMPESTRE DIST TEL (562) 505-7247***"".","El Campestre initiated this recall due to the following reason: undeclared allergens: eggs, soy, wheat, and crab extract.",Voluntary: Firm initiated,20130613,20130807,20130820
F-2425-2016,Terminated,Class I,IL,United States,Treehouse Foods,"UPC  071725748010,	Sunflower Seeds Roasted and Salted, Best By/Date Code: 11/27/2016.    UPC  007172524140,	Amport Roasted and Salted Sunflower Seeds, Best By/Date Code:11/26/2016.    639277348319,Naturally Select  Roasted and Salted Sunflower Seed, Best By/Date Code: 3/1/2017.    UPC  071725241351,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:12/3/2016,12/26/2016, 12/12/2016 .    UPC 071725748010,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:12/31/2016,12/26/2016, 1/14/2017 .    UPC 071725241405,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:1/7/2017 .",TreeHouse Foods is recalling products that may be impacted by sunflower seeds  contaminated with Listeria monocytogenes.,Voluntary: Firm initiated,20160503,20161012,20170815
F-0625-2014,Terminated,Class I,WI,United States,"Garden-Fresh Foods, Inc.","Garden-Fresh Anti Pasto Salad Kit,       Product Code  0 11596 65634 2 ,	1/6 lb","Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",Voluntary: Firm initiated,20131030,20131211,20140313
F-0358-2022,Terminated,Class II,CA,United States,Livia Global,"Livia One Organic Daily Topical Spray Probiotics;   4 oz. (120 ml)  UPC: 0 30915 10710 5     Recommended use: Topical: Spray affected area 2-5 times daily as needed.     Ingredients: Proprietary probiotic blend in an enzyme enriched substrate:  Lactobacillus-Acidophilus, L. Rhamnosus, L-Salivarius, L. Casei, L-Plantarum, Lactococcus-Lactis, Streptocuccus-Thermophilus, Bifidobacterium-Bifidum, B-Lactus, B-Infantis, B-Breve, B-Longum.  Made with water and a proprietary blend of three organic grasses    Livia Global Inc., Visalia, CA.",Probiotic products contaminated with Pseudomonas aeruginosa .,Voluntary: Firm initiated,20211201,20211222,20220429
F-0465-2015,Terminated,Class II,NJ,United States,"Family Food Distributors, Inc.","Mama Tere Arepa de Blanca de Maiz White Corn Patty 14.1 oz/400g   5 units Product of Colombia Importado Por: Family Food Distributors, Inc. 969 Newark Turnpike, Kearny, NJ 07032  UPC 812828011676","Mama Tere Arepa de Moto, de Chocolo and and de Blanca de Maiz were found to be mislabeled.",Voluntary: Firm initiated,20140826,20141112,20170530
F-0559-2020,Ongoing,Class II,SC,United States,TFI Holding dba Grey Ghost Bakery,"GREY GHOST BAKERY scratch-made cookies LEMON SUGAR NET WT 1.4 OZ (40 G), UPC 8 53152 00308 1 , 4 OZ (113 G) UPC 8 53152 00332 6 & 8 OZ (225 G) UPC 8 53152 00307 4 GREY GHOST BAKERY 1750 SIGNAL POINT RD, STE 2A CHARLESTON, SC 29412",The product contains undeclared sulfites.,Voluntary: Firm initiated,20191217,20200115,
F-0910-2022,Terminated,Class I,AZ,United States,"Lehi Valley Trading Co, Inc","Woody's Smokehouse brand Yogurt Raisins, 12.3 oz. (348g), clear plastic bag with front and back labels, UPC 0 95248 65531 0. Packed especially for Woody's Smokehouse Inc., Centerville, TX 75833, 903-536-9663, Woody's-Smokehouse.com  Texas Best Smokehouse brand Yogurt Raisins, 8 oz. (226g), clear plastic bag with front and back labels, UPC 0 95248 32055 3. Packed especially for: Texas Best Smokehouse, 3302 S Eastman Rd., Longview TX 75602.  Snack-Worthy brand Yogurt Raisins, 10 oz. (283g), clear plastic tub with front and back labels, UPC 8 79114 00668 3. Distributed by Lehi Valley Trading Company, Mesa, AZ 85215 snackworthy.com.",Bags and tubs of yogurt covered raisins contained undeclared  peanuts.,Voluntary: Firm initiated,20220211,20220406,20220519
F-0829-2023,Terminated,Class I,MI,United States,Caledonia Facility of Revolution Farms LLC,Revolution Farms Zesty Southwest 6oz salad kit in plastic container UPC 856791008240,Listeria monocytogenes,Voluntary: Firm initiated,20230405,20230517,20230509
F-0377-2021,Terminated,Class I,MI,United States,KAREEM MART INC,Kareem Chef Halva 1lb and 2lb sizes in plastic tub,Salmonella,Voluntary: Firm initiated,20210308,20210407,20210901
F-1267-2019,Terminated,Class II,IL,United States,Newly Weds Foods Inc,Commercial Breader Batter;  B56666 BREADER   X1;       50 pound bag,Corn flour which may contain small pieces of plastic.,Voluntary: Firm initiated,20190322,20190417,20201016
